2 40
-1.700408 -3.926747 -2.253241
2.889541 -3.493846 2.667577
1.547726 -0.269166 1.892176
-4.757104 2.767709 -1.337096
-1.353294 0.384013 0.860369
-2.830661 0.874727 -0.575916
2.879149 1.100287 4.996883
-4.911253 2.638162 -1.961202
-0.322030 -3.632079 -0.233692
-0.230183 0.938471 2.059855
0.237553 0.341650 1.387053
0.556146 3.351784 3.534015
-0.321566 -4.762044 -0.472011
2.040517 -4.581942 1.730512
-1.693473 -2.651470 -1.012368
0.838305 4.750802 4.360724
2.562090 -2.535864 2.088945
1.277010 -2.235554 2.311714
-1.773179 1.142460 0.184250
-0.582219 2.906957 3.273560
3.260262 1.039991 5.784851
4.184728 0.762813 4.443572
-3.334164 -0.432249 -1.308157
-1.014667 -1.894529 -0.296469
-0.152281 -3.389456 0.368556
-3.704005 0.884112 -0.813678
3.649630 0.677994 4.740601
-3.012833 -2.803916 -2.948956
1.998783 2.018716 4.422052
-3.903241 -4.873979 -4.479217
4.719579 0.620295 4.901282
-4.729157 -1.149259 -3.670791
3.086370 -0.607510 3.475255
0.009361 -4.198585 -0.554351
1.915774 -0.504028 2.311843
2.299069 2.916174 4.407228
-4.717114 2.663122 -1.042381
-0.955472 -3.572713 -0.039140
-1.394051 -4.069691 -0.778914
-1.216391 3.235184 1.134705
