2 40 
1.900010 0.054184 1.868498 
0.547849 -1.215712 3.173787 
-2.926179 1.262619 3.978751 
3.438519 -4.312220 1.575563 
3.799941 -1.805197 -0.991149 
-4.149952 4.076290 5.372967 
4.219778 0.075512 -1.308164 
-1.667403 1.924095 4.586498 
-1.380848 -4.680062 8.884747 
-4.010155 3.770675 5.126652 
-0.678074 1.062679 4.000726 
1.642857 -1.046346 2.037509 
1.521251 4.288636 7.314522 
-1.926643 0.964829 4.099056 
-1.619696 3.052528 5.661465 
-4.335267 3.570868 4.584209 
3.896462 0.452756 -0.522512 
-0.422273 3.002194 5.672299 
3.218184 -3.142738 0.747340 
1.381558 -2.661720 3.155700 
-4.925801 1.350105 2.753272 
4.536583 -2.898795 -2.011228 
-2.387475 3.570643 6.034929 
2.073183 -2.140248 1.876055 
1.439517 3.585183 5.995022 
-0.568503 -4.441050 7.716532 
0.946926 -3.979184 5.237492 
4.507193 1.657201 -0.208430 
3.794391 2.008665 1.305044 
1.134821 3.631406 6.221865 
-0.603148 -2.254281 4.726566 
0.061644 0.705102 3.560468 
1.236267 -4.387019 5.465309 
0.639540 0.365812 3.088046 
0.995329 -2.236761 3.278027 
2.402892 4.638418 7.600494 
-1.236131 0.596720 3.969293 
4.713698 1.341305 -0.947678 
-1.269992 -1.600190 4.559807 
2.340968 0.904576 1.866886 
